Cliente;Produto;Quantidade;Valor unitário;Valor final;
Funeraria pro Ceu;SACO DE LIXO 60 LT PRETO COMUM UND;10;0,29;2,90;
Funeraria pro Ceu;BOM AR  AIR WICK DIVERSOS AROMAS;2;11,89;23,78;
Funeraria pro Ceu;MULTIUSO TEIU 500 ML;1;3,00;3,00;
Funeraria pro Ceu;BISC CLUB SOCIAL;4;4,99;19,96;
Plano PRO Saudi;PILHA  AA;4;4,26;17,04;
Plano PRO Saudi;SACO DE LIXO 40 LT COMUM UND;55;0,17;9,35;
Plano PRO Saudi;AÇUCAR CRISTAL 1KG COD10340;1;3,49;3,49;
Plano PRO Saudi;AÇUCAR CRISTAL 1KG COD10340;38;3,89;147,82;
Plano PRO Saudi;CAFE PURO MOIDO A VACUO 250G PACOTE;58;6,97;404,26;
Plano PRO Saudi;COPO DESCARTAVEL PP 180ML;25;2,60;65,00;
Plano PRO Saudi;COPO DESCARTAVEL 50 ML DE CAFÉ;5;2,99;14,95;
Plano PRO Saudi;DESINFETANTE MULTIUSO;3;2,50;7,50;
Plano PRO Saudi;DESINFETANTE MULTIUSO;10;3,00;30,00;
Plano PRO Saudi;DETERGENTE 500 ML;6;1,95;11,70;
Plano PRO Saudi;DETERGENTE 500 ML;8;2,25;18,00;
Plano PRO Saudi;ESPONJA;9;0,90;8,10;
Plano PRO Saudi;PANO DE PRATO;3;2,50;7,50;
Plano PRO Saudi;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;6;17,70;106,20;
Plano PRO Saudi;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;6;17,75;106,50;
Plano PRO Saudi;SABAO EM PO;1;6,30;6,30;
Plano PRO Saudi;SABONETE LIQUIDO 500 ML;3;7,00;21,00;
Plano PRO Saudi;SACO DE LIXO 50L COMUM UND;40;0,27;10,80;
Plano PRO Saudi;CANETA (AZUL);5;0,99;4,95;
Plano PRO Saudi;COLA BASTAO;1;2,69;2,69;
Plano PRO Saudi;ALCOOL GEL  70% 1 LT;3;9,50;28,50;
Plano PRO Saudi;MARCA TEXTO ( AMARELO );1;5,49;5,49;
Plano PRO Saudi;PILOTO VERMELHO;1;3,99;3,99;
Plano PRO Saudi;PILHA AAA;4;2,42;9,68;
Plano PRO Saudi;PAPEL HIG IDEAL 300X10 MT CELULOSE FD COM 8 ROLOS;3;65,00;195,00;
Plano PRO Saudi;PAPEL HIG IDEAL 300X10 MT CELULOSE FD COM 8 ROLOS;2;76,00;152,00;
Plano PRO Saudi;PAPEL P/FOTO MASTERPRINT A4 180G 50 F P.D`AGUA;2,000;22,99;45,98;
Plano PRO Saudi;PEDRA SANITARIA;6;2,10;12,60;
Plano PRO Saudi;PEDRA SANITARIA;4;2,20;8,80;
Plano PRO Saudi;ERVA DOCE;5;3,10;15,50;
Plano PRO Saudi;ERVA DOCE;5;25,11;125,55;
Plano PRO Saudi;GARRAFAS DE CAFÉ;2;159,99;319,98;
Plano PRO Saudi;SACO DE LIXO 30 LT INFECTANTE UND;30;0,17;5,10;
Plano PRO Saudi;SABÃO EM PÓ ALA CUIDADO DO COCO500 G;1;10,19;10,19;
Plano PRO Saudi;FILTRO PAPEL MELITA;2;5,69;11,38;
Plano PRO Saudi;ELASTICO PARA DINHEIRO;2;5,99;11,98;
Plano PRO Saudi;SABONETE LIQUIDO ERVA DOCE 500 ML;2;6,00;12,00;
Plano PRO Saudi;LUVA DE LIMPEZA TAM M;1;4,75;4,75;
Plano PRO Saudi;SACO DE LIXO 100 LT PRETO COMUM UND;75;0,36;27,00;
Plano PRO Saudi;AGUA SANITARIA 1 LT;2;1,75;3,50;
Plano PRO Saudi;AGUA SANITARIA 1 LT;2;2,49;4,98;
Plano PRO Saudi;SACO DE LIXO 60 LT PRETO COMUM UND;30;0,29;8,70;
Plano PRO Saudi;VASSOURA ITALIAN;1;35,99;35,99;
Plano PRO Saudi;PAPEL CASCA DE OVO;3;19,99;59,97;
Plano PRO Saudi;BOM AR  AIR WICK DIVERSOS AROMAS;6;11,89;71,34;
Plano PRO Saudi;FLANELA GRANDE 48X78 UND;4;3,50;14,00;
Plano PRO Saudi;PAPEL P FOTO MASTERPRINT A3 130G 20F;5;28,99;144,95;
Plano PRO Saudi;RODO 30 CM PLASTICO COM CABO;1;32,59;32,59;
Plano PRO Saudi;SACO DE LIXO 20L;5;0,10;0,50;
Plano PRO Saudi;CLIPS 4/0 C 50;1;2,59;2,59;
Plano PRO Saudi;ALCOOL GEL  70% 500 gr;5;8,19;40,95;
Plano PRO Saudi;PAPEL HIGIENICO FONFEX FOLHA DUPLA UN;11;9,91;109,01;
Plano PRO Saudi;ENVELOPE SACO K. NATURAL 229X324;4;0,59;2,36;
Plano PRO Saudi;FLANELA GRANDE 29x49 UND;5;2,50;12,50;
Plano PRO Saudi;PANO DE CHÃO TIPO TOALHA DE BANHO;4;6,00;24,00;
Plano PRO Saudi;MULTIUSO TEIU 500 ML;1;2,58;2,58;
Plano PRO Saudi;MULTIUSO TEIU 500 ML;1;3,00;3,00;
Plano PRO Saudi;PAPEL OFICIO A4  UP;4;27,99;111,96;
Plano PRO Saudi;RÉGUA 30CM;1;5,59;5,59;
Plano PRO Saudi;PANO DE CHAO XADREZ 45X78CM;2;5,85;11,70;
Plano PRO Saudi;BALA CARAMELO;8;9,87;78,96;
Plano PRO Saudi;BALA CARAMELO;10;9,99;99,90;
Plano PRO Saudi;GEL PINHO 500 ML;2;2,50;5,00;
Plano PRO Saudi;ENVELOPE SACO K OURO 162X229;5;0,39;1,95;
Plano PRO Saudi;SABAO EM BARRA YPE;2;3,49;6,98;
Plano PRO Saudi;MARCADOR P/ QUADRO BRANCO - AZUL;1;9,49;9,49;
Plano PRO Saudi;BALA MASTIGAVEL SORTIDAS;3;8,50;25,50;
Plano PRO Saudi;ENVELOPE SACO K OURO 260X360;15;0,75;11,25;
Ótica do Morro do Chapéu;SACO DE LIXO 40 LT COMUM UND;10;0,17;1,70;
Ótica do Morro do Chapéu;COPO DESCARTAVEL PP 180ML;3;2,60;7,80;
Ótica do Morro do Chapéu;DESINFETANTE MULTIUSO;2;3,00;6,00;
Ótica do Morro do Chapéu;ALCOOL GEL  70% 1 LT;1;9,50;9,50;
Ótica do Morro do Chapéu;AGUA SANITARIA 1 LT;2;1,75;3,50;
Ótica do Morro do Chapéu;DISPENSER  PAPEL TOALHA INTER;1;40,00;40,00;
Ótica do Morro do Chapéu;FITA DUPLA FACE  - 12X30;1;6,79;6,79;
Ótica do Morro do Chapéu;PANO DE CHÃO TIPO TOALHA DE BANHO;2;6,00;12,00;
Ótica do Morro do Chapéu;PAPEL OFICIO A4  UP;2;27,99;55,98;
Ótica do Morro do Chapéu;PORTA SABONETE;1;14,99;14,99;
Ótica do Morro do Chapéu;ENVELOPE SACO K OURO 162X229;3;0,39;1,17;
Laboratório Roseslab;ALGODAO HIDROFILO 500 GR;1;20,87;20,87;
Laboratório Roseslab;SERINGA DESC. 05 ML C/AGULHA 25X7;30;0,62;18,60;
Laboratório Roseslab;SACO DE LIXO 40 LT COMUM UND;10;0,17;1,70;
Laboratório Roseslab;LUSTRA MOVEIS;1;10,69;10,69;
Laboratório Roseslab;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;1;17,70;17,70;
Laboratório Roseslab;SABONETE LIQUIDO 500 ML;2;7,00;14,00;
Laboratório Roseslab;ALCOOL GEL  70% 1 LT;2;9,50;19,00;
Laboratório Roseslab;ADESIVOS PARA LAUDO;300;0,08;24,00;
Laboratório Roseslab;ADESIVOS PARA LAUDO;68;0,11;7,48;
Laboratório Roseslab;CAPAS DE LABORATORIO;300;0,60;180,00;
Laboratório Roseslab;PAPEL HIG IDEAL 300X10 MT CELULOSE FD COM 8 ROLOS;1;65,00;65,00;
Laboratório Roseslab;BISC PIT STOP 0,137 GR  DIVERSOS SABORES;10;4,19;41,90;
Laboratório Roseslab;SERINGA DESC 10 ML C/AG 25X7;50;0,54;27,00;
Laboratório Roseslab;SERINGA DESC 03ML C/AGULHA;30;0,45;13,50;
Laboratório Roseslab;DISPENSER  PAPEL TOALHA INTER;1;40,00;40,00;
Laboratório Roseslab;SERINGA DESC. 10 ML S/AGULHA L. SLIP;30;0,37;11,10;
Laboratório Roseslab;SERINGA DESC. 05 ML C/AGULHA 27X7;30;0,59;17,70;
Laboratório Roseslab;PAPEL HIGIENICO FONFEX FOLHA DUPLA UN;1;9,91;9,91;
Laboratório Roseslab;PAPEL OFICIO A4  UP;2;27,99;55,98;
Laboratório Roseslab;LUVA P/ PROCEDIMENTO SEM PO P CX100;2;21,98;43,96;
Laboratório de Uibai;CAFE PURO MOIDO A VACUO 250G PACOTE;3;6,97;20,91;
Laboratório de Uibai;PAPEL TOALHA IDEAL CELULOSE 1000 FOLHAS;1;17,70;17,70;
